일자,종가,대비,대비,등락률,거래량
40,11133.75,5,41.50,-     -0.37,    389897
39,11175.25,2,49.25,      0.44,    410137
38,11126.00,2,247.50,      2.28,    425574
37,10878.50,5,193.50,-     -1.75,    554339
36,11072.00,5,50.75,-     -0.46,    478964
35,11122.75,5,138.50,-     -1.23,    525962
34,11261.25,2,169.50,      1.53,    417626
33,11091.75,2,5.75,      0.05,    347134
32,11086.00,2,41.75,      0.38,    392527
31,11044.25,2,153.75,      1.41,    386264
30,10890.50,2,96.50,      0.89,    620624
29,10794.00,2,119.75,      1.12,    517607
28,10674.25,2,134.25,      1.27,    365161
27,10540.00,5,135.25,-     -1.27,    440879
26,10675.25,2,216.25,      2.07,    441368
25,10459.00,5,89.25,-     -0.85,    647618
24,10548.25,5,256.00,-     -2.37,    634003
23,10804.25,5,46.75,-     -0.43,    481852
22,10851.00,5,100.00,-     -0.91,    582953
21,10951.00,2,328.50,      3.09,    491390
20,10622.50,2,110.75,      1.05,    435816
19,10511.75,5,171.50,-     -1.61,    610047
18,10683.25,2,37.00,      0.35,    700593
17,10646.25,2,46.25,      0.44,    908240
16,10600.00,5,237.25,-     -2.19,    727844
15,10837.25,2,109.75,      1.02,    521927
14,10727.50,2,65.25,      0.61,    601571
13,10662.25,2,130.00,      1.23,    474920
12,10532.25,5,66.25,-     -0.63,    460895
11,10598.50,2,242.75,      2.34,    411954
10,10355.75,3,0.00,      0.00,     67016
9,10355.75,2,87.00,      0.85,    399438
8,10268.75,2,121.50,      1.20,    397772
7,10147.25,2,173.50,      1.74,    416619
6,9973.75,2,108.25,      1.10,    474781
5,9865.50,5,222.75,-     -2.21,    571005
4,10088.25,2,77.50,      0.77,    509918
3,10010.75,5,185.25,-     -1.82,    656910
2,10196.00,2,71.25,      0.70,    404671
1,10124.75,2,201.25,      2.03,    351975
